# Pressure:     3.000E-02 Ba
# Temperature:     75.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      1.3657654E-31
    0.505000      1.3108217E-31
    0.510050      1.2581203E-31
    0.515150      1.2075680E-31
    0.520302      1.1590751E-31
    0.525505      1.1485857E-31
    0.530760      1.0784718E-31
    0.536068      1.0251162E-31
    0.541428      9.8404152E-32
    0.546843      9.4463341E-32
    0.552311      9.0682304E-32
    0.557834      8.7054449E-32
    0.563413      8.3573461E-32
    0.569047      8.0233291E-32
    0.574737      7.7028148E-32
    0.580484      7.3952481E-32
    0.586289      7.1000977E-32
    0.592152      6.8168542E-32
    0.598074      6.5450298E-32
    0.604054      6.3027431E-32
    0.610095      6.0337881E-32
    0.616196      5.7934937E-32
    0.622358      5.5628627E-32
    0.628582      5.3415010E-32
    0.634867      5.1290307E-32
    0.641216      1.6291299E-31
    0.647628      4.7293315E-32
    0.654104      6.3171414E-32
    0.660645      4.3610455E-32
    0.667252      4.1878933E-32
    0.673924      4.0216735E-32
    0.680664      3.8621051E-32
    0.687470      3.7089187E-32
    0.694345      3.5618562E-32
    0.701288      3.4206699E-32
    0.708301      3.2851223E-32
    0.715384      3.1549858E-32
    0.722538      3.0300420E-32
    0.729764      3.3728280E-32
    0.737061      2.7949036E-32
    0.744432      2.6843155E-32
    0.751876      2.5781325E-32
    0.759395      2.4761775E-32
    0.766989      2.3782804E-32
    0.774659      2.2842782E-32
    0.782405      2.1940145E-32
    0.790229      2.1073394E-32
    0.798132      2.5128200E-32
    0.806113      1.9441846E-32
    0.814174      1.8674344E-32
    0.822316      1.7840286E-30
    0.830539      7.5350786E-29
    0.838844      3.6997526E-28
    0.847233      2.7266625E-28
    0.855705      4.0231522E-28
    0.864262      4.4276551E-28
    0.872905      9.3892460E-28
    0.881634      1.4205865E-27
    0.890450      2.0512060E-26
    0.899355      7.0427488E-27
    0.908348      2.1226751E-28
    0.917432      1.8855219E-28
    0.926606      7.7822815E-28
    0.935872      2.1341006E-28
    0.945231      8.8893664E-29
    0.954683      1.7554690E-28
    0.964230      6.6720822E-28
    0.973872      7.8945343E-28
    0.983611      5.7532551E-27
    0.993447      4.9313691E-27
    1.003382      4.0720746E-27
    1.013416      8.7173917E-27
    1.023550      2.2262070E-26
    1.033785      6.3922859E-27
    1.044123      6.7924418E-28
    1.054564      6.0390035E-28
    1.065110      6.9530420E-28
    1.075761      1.6314987E-27
    1.086519      6.6904210E-28
    1.097384      8.1519244E-28
    1.108358      6.6905456E-28
    1.119441      1.0556930E-26
    1.130636      1.8024103E-26
    1.141942      3.2531942E-27
    1.153361      1.6829960E-26
    1.164895      1.1177367E-25
    1.176544      1.7417451E-26
    1.188309      8.7227767E-27
    1.200192      2.9164459E-26
    1.212194      2.5994781E-26
    1.224316      6.8611798E-27
    1.236560      5.4725431E-28
    1.248925      8.4015124E-28
    1.261414      2.5603826E-27
    1.274028      8.8602008E-28
    1.286769      7.5519392E-27
    1.299636      1.5565465E-26
    1.312633      1.3781026E-26
    1.325759      1.6116625E-26
    1.339017      1.5697080E-26
    1.352407      6.8060269E-26
    1.365931      4.1806058E-26
    1.379590      3.9404043E-26
    1.393386      1.0779977E-25
    1.407320      3.5448006E-26
    1.421393      6.3039611E-27
    1.435607      9.4534295E-27
    1.449963      1.7904990E-26
    1.464463      2.5144076E-26
    1.479108      6.4955362E-26
    1.493899      2.1636361E-25
    1.508838      2.2692140E-25
    1.523926      5.4140478E-26
    1.539165      6.4012401E-27
    1.554557      5.5542647E-27
    1.570102      4.3301964E-27
    1.585803      8.9734392E-28
    1.601662      2.9597706E-28
    1.617678      2.0281763E-27
    1.633855      4.7219380E-26
    1.650193      1.4819412E-25
    1.666695      4.9580266E-26
    1.683362      3.2928707E-26
    1.700196      2.3007820E-25
    1.717198      1.5360276E-25
    1.734370      2.0389650E-26
    1.751714      2.0463061E-26
    1.769231      1.2102972E-25
    1.786923      1.0918427E-25
    1.804792      1.6807126E-26
    1.822840      4.8818789E-27
    1.841069      1.2398836E-26
    1.859479      2.0870291E-27
    1.878074      5.9635030E-28
    1.896855      9.0162123E-28
