# Pressure:     1.000E+01 Ba
# Temperature:     75.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      1.3657654E-31
    0.505000      1.3108217E-31
    0.510050      1.2581204E-31
    0.515150      1.2075680E-31
    0.520302      1.1590751E-31
    0.525505      1.1454665E-31
    0.530760      1.1673369E-31
    0.536068      1.0251162E-31
    0.541428      9.8404153E-32
    0.546843      9.4463342E-32
    0.552311      9.0682305E-32
    0.557834      8.7054450E-32
    0.563413      8.3573462E-32
    0.569047      8.0233292E-32
    0.574737      7.7028148E-32
    0.580484      7.3952482E-32
    0.586289      7.1000977E-32
    0.592152      6.8168542E-32
    0.598074      6.5450298E-32
    0.604054      6.6537546E-32
    0.610095      6.0337881E-32
    0.616196      5.7934938E-32
    0.622358      5.5628628E-32
    0.628582      5.3415010E-32
    0.634867      7.2389580E-32
    0.641216      3.6950859E-31
    0.647628      4.7293315E-32
    0.654104      9.2966323E-32
    0.660645      4.3610455E-32
    0.667252      4.1878933E-32
    0.673924      4.0216735E-32
    0.680664      3.8621051E-32
    0.687470      3.7089187E-32
    0.694345      3.5618562E-32
    0.701288      3.4206699E-32
    0.708301      3.2851223E-32
    0.715384      3.1549859E-32
    0.722538      3.0300421E-32
    0.729764      5.0036725E-32
    0.737061      2.7949036E-32
    0.744432      2.6843155E-32
    0.751876      2.5781325E-32
    0.759395      2.4761775E-32
    0.766989      2.3782804E-32
    0.774659      2.2842782E-32
    0.782405      2.1940146E-32
    0.790229      2.1073394E-32
    0.798132      3.5186630E-32
    0.806113      5.2685286E-32
    0.814174      5.2902312E-32
    0.822316      5.2838547E-30
    0.830539      6.3159264E-29
    0.838844      3.1592802E-28
    0.847233      2.3497676E-28
    0.855705      3.5224109E-28
    0.864262      3.9051820E-28
    0.872905      8.0437873E-28
    0.881634      1.1596263E-27
    0.890450      1.7111462E-26
    0.899355      5.5729555E-27
    0.908348      1.7593890E-28
    0.917432      1.4678858E-28
    0.926606      6.4860411E-28
    0.935872      1.8832906E-28
    0.945231      7.8592171E-29
    0.954683      1.4819748E-28
    0.964230      6.5397984E-28
    0.973872      7.7535854E-28
    0.983611      4.7376937E-27
    0.993447      4.1481211E-27
    1.003382      3.4972556E-27
    1.013416      6.5029210E-27
    1.023550      2.0367662E-26
    1.033785      6.4165613E-27
    1.044123      5.2832460E-28
    1.054564      5.3938046E-28
    1.065110      6.0363680E-28
    1.075761      1.3743919E-27
    1.086519      5.2798618E-28
    1.097384      7.4968387E-28
    1.108358      4.8301904E-28
    1.119441      8.8496259E-27
    1.130636      1.5136674E-26
    1.141942      2.5452857E-27
    1.153361      1.4662496E-26
    1.164895      1.0025257E-25
    1.176544      1.4629935E-26
    1.188309      6.1800823E-27
    1.200192      1.9891015E-26
    1.212194      2.3567033E-26
    1.224316      5.3752154E-27
    1.236560      5.6220888E-28
    1.248925      7.6469084E-28
    1.261414      3.8401730E-27
    1.274028      1.2357892E-27
    1.286769      1.0051213E-26
    1.299636      1.7753700E-26
    1.312633      1.4593982E-26
    1.325759      2.3457259E-26
    1.339017      1.3618535E-26
    1.352407      4.7100791E-26
    1.365931      2.9315193E-26
    1.379590      2.9994637E-26
    1.393386      7.9494029E-26
    1.407320      2.6767246E-26
    1.421393      5.9676527E-27
    1.435607      9.5722638E-27
    1.449963      2.4080105E-26
    1.464463      2.5332821E-26
    1.479108      7.8124942E-26
    1.493899      2.4137581E-25
    1.508838      2.3957415E-25
    1.523926      6.2969910E-26
    1.539165      5.1672883E-27
    1.554557      5.7751640E-27
    1.570102      3.9189463E-27
    1.585803      1.0861347E-27
    1.601662      3.0174158E-28
    1.617678      1.9863750E-27
    1.633855      6.4841847E-26
    1.650193      2.8088932E-25
    1.666695      1.1216354E-25
    1.683362      2.7474907E-26
    1.700196      2.1657122E-25
    1.717198      1.6488824E-25
    1.734370      1.6959086E-26
    1.751714      1.7477095E-26
    1.769231      1.0790388E-25
    1.786923      9.2829033E-26
    1.804792      1.4832304E-26
    1.822840      4.0690223E-27
    1.841069      1.0792059E-26
    1.859479      2.0847253E-27
    1.878074      7.8615653E-28
    1.896855      1.0093203E-27
