# Pressure:     1.000E-04 Ba
# Temperature:    240.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      3.9992900E-29
    0.505000      3.5715824E-29
    0.510050      2.8003408E-30
    0.515150      1.8316382E-31
    0.520302      2.8458310E-30
    0.525505      2.5447687E-30
    0.530760      6.9300798E-31
    0.536068      6.7607027E-30
    0.541428      2.4006696E-29
    0.546843      4.6991724E-30
    0.552311      2.0809612E-31
    0.557834      1.1239741E-30
    0.563413      1.0286169E-29
    0.569047      3.0865065E-29
    0.574737      1.4010472E-29
    0.580484      8.5247066E-30
    0.586289      3.1868714E-28
    0.592152      2.0738497E-28
    0.598074      2.0634732E-29
    0.604054      6.9349159E-31
    0.610095      9.1510893E-32
    0.616196      6.3843103E-32
    0.622358      1.8496182E-29
    0.628582      2.0597079E-29
    0.634867      1.3975037E-29
    0.641216      6.3092832E-29
    0.647628      1.3055051E-28
    0.654104      6.8668946E-29
    0.660645      6.0998846E-30
    0.667252      2.4927397E-31
    0.673924      7.9127199E-31
    0.680664      9.5640678E-30
    0.687470      2.4319524E-28
    0.694345      3.6888626E-28
    0.701288      2.1232194E-28
    0.708301      1.4149153E-28
    0.715384      2.4110015E-27
    0.722538      2.0964600E-27
    0.729764      3.0540838E-28
    0.737061      5.1919600E-29
    0.744432      3.4970595E-30
    0.751876      1.3138036E-30
    0.759395      1.6849086E-31
    0.766989      1.6875879E-31
    0.774659      1.1784662E-30
    0.782405      1.1004988E-28
    0.790229      1.4609777E-28
    0.798132      2.0460645E-28
    0.806113      6.6814521E-28
    0.814174      1.1168183E-27
    0.822316      1.0526977E-27
    0.830539      4.6838154E-28
    0.838844      3.5982423E-28
    0.847233      3.2162748E-28
    0.855705      3.4577361E-28
    0.864262      5.0046418E-28
    0.872905      8.5298892E-28
    0.881634      1.3420545E-27
    0.890450      1.6387380E-26
    0.899355      1.0148706E-26
    0.908348      4.6426916E-27
    0.917432      1.6082308E-27
    0.926606      3.7357297E-26
    0.935872      1.9330338E-26
    0.945231      2.0505122E-26
    0.954683      1.0528683E-26
    0.964230      3.5141045E-27
    0.973872      3.4318464E-27
    0.983611      4.6955525E-27
    0.993447      4.7530375E-27
    1.003382      4.3658774E-27
    1.013416      9.7171562E-27
    1.023550      1.4865402E-26
    1.033785      8.4969532E-27
    1.044123      2.4990584E-27
    1.054564      6.7786230E-28
    1.065110      1.1012257E-27
