# Pressure:     3.000E+02 Ba
# Temperature:    725.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      3.5930825E-29
    0.505000      2.8952179E-29
    0.510050      1.6040533E-29
    0.515150      3.7007883E-30
    0.520302      2.5744506E-30
    0.525505      2.1634220E-30
    0.530760      1.3819385E-30
    0.536068      1.0777826E-29
    0.541428      1.6240407E-29
    0.546843      1.1650876E-29
    0.552311      3.8808488E-30
    0.557834      2.1235551E-30
    0.563413      1.8410156E-29
    0.569047      2.2140660E-29
    0.574737      2.3485287E-29
    0.580484      2.4291771E-29
    0.586289      2.7897172E-28
    0.592152      2.0713436E-28
    0.598074      1.1071127E-28
    0.604054      3.0994104E-29
    0.610095      7.2615895E-30
    0.616196      3.2619320E-30
    0.622358      3.1354699E-29
    0.628582      2.4177757E-29
    0.634867      3.1508752E-29
    0.641216      1.4990871E-28
    0.647628      1.3156363E-28
    0.654104      1.3828379E-28
    0.660645      5.6119589E-29
    0.667252      1.4888890E-29
    0.673924      8.9202210E-30
    0.680664      1.5568550E-29
    0.687470      4.4042268E-28
    0.694345      2.3570895E-28
    0.701288      3.2234444E-28
    0.708301      3.9205680E-28
    0.715384      2.1071612E-27
    0.722538      1.8672223E-27
    0.729764      1.2330368E-27
    0.737061      5.2630839E-28
    0.744432      1.7588153E-28
    0.751876      5.4516811E-29
    0.759395      2.2497856E-29
    0.766989      1.2912290E-29
    0.774659      3.9544543E-29
    0.782405      2.4084666E-28
    0.790229      2.0496410E-28
    0.798132      3.1411680E-28
    0.806113      2.3720938E-27
    0.814174      1.9198036E-27
    0.822316      1.7162078E-27
    0.830539      1.9620088E-27
    0.838844      1.1357579E-27
    0.847233      8.5098199E-28
    0.855705      7.5825443E-28
    0.864262      1.0466267E-27
    0.872905      1.4486784E-27
    0.881634      4.7451348E-27
    0.890450      1.3010720E-26
    0.899355      7.3998318E-27
    0.908348      6.9144848E-27
    0.917432      7.0178804E-27
    0.926606      4.8337279E-26
    0.935872      2.4602873E-26
    0.945231      5.0806366E-26
    0.954683      2.8119116E-26
    0.964230      1.3372498E-26
    0.973872      9.6343135E-27
    0.983611      6.8230301E-27
    0.993447      5.8602676E-27
    1.003382      6.3629049E-27
    1.013416      1.0411045E-26
    1.023550      8.4854369E-27
    1.033785      7.5545343E-27
    1.044123      4.6548217E-27
    1.054564      2.6063952E-27
    1.065110      2.3752004E-27
    1.075761      2.2696412E-27
    1.086519      4.0120953E-27
    1.097384      1.5778578E-26
    1.108358      6.5025525E-26
    1.119441      6.4284801E-26
    1.130636      7.7318533E-26
    1.141942      5.6810359E-26
    1.153361      7.9047488E-26
