# Pressure:     1.000E+00 Ba
# Temperature:   1200.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      1.6217038E-28
    0.505000      1.8236965E-28
    0.510050      2.0919493E-28
    0.515150      2.4108567E-28
    0.520302      2.8059954E-28
    0.525505      3.3223593E-28
    0.530760      4.0214789E-28
    0.536068      5.0711899E-28
    0.541428      6.4583158E-28
    0.546843      8.6144753E-28
    0.552311      1.1911911E-27
    0.557834      1.7566689E-27
    0.563413      2.8288362E-27
    0.569047      5.2527703E-27
    0.574737      1.2519739E-26
    0.580484      6.4860568E-26
    0.586289      1.8934465E-22
    0.592152      4.0626516E-26
    0.598074      1.0558609E-26
    0.604054      4.7983069E-27
    0.610095      2.7925954E-27
    0.616196      1.8064028E-27
    0.622358      1.2870756E-27
    0.628582      9.6202197E-28
    0.634867      7.6898802E-28
    0.641216      6.9044407E-28
    0.647628      5.7038025E-28
    0.654104      4.9022870E-28
    0.660645      4.0615779E-28
    0.667252      3.2575601E-28
    0.673924      2.7835807E-28
    0.680664      2.4444416E-28
    0.687470      4.6724473E-28
    0.694345      2.8342615E-28
    0.701288      3.3390490E-28
    0.708301      4.2030258E-28
    0.715384      1.0637954E-27
    0.722538      9.2824769E-28
    0.729764      8.4550739E-28
    0.737061      6.0690572E-28
    0.744432      3.9772638E-28
    0.751876      2.6613795E-28
    0.759395      2.3531686E-28
    0.766989      1.5443686E-26
    0.774659      1.6196818E-28
    0.782405      2.0925376E-28
    0.790229      1.9138950E-28
    0.798132      2.5516481E-28
    0.806113      1.5227870E-27
    0.814174      9.2580395E-28
    0.822316      1.0273271E-27
    0.830539      1.2192901E-27
    0.838844      1.0485036E-27
    0.847233      8.2167565E-28
    0.855705      6.0426628E-28
    0.864262      6.5010162E-28
    0.872905      7.0219536E-28
    0.881634      1.7908342E-27
    0.890450      4.1237781E-27
    0.899355      2.5339573E-27
    0.908348      3.1659371E-27
    0.917432      4.3310229E-27
    0.926606      2.0886003E-26
    0.935872      1.1005407E-26
    0.945231      3.4153695E-26
    0.954683      1.6258015E-26
    0.964230      1.1270369E-26
    0.973872      8.8348175E-27
    0.983611      6.0775696E-27
    0.993447      4.5316188E-27
    1.003382      3.2878192E-27
    1.013416      2.3438247E-27
    1.023550      1.7434940E-27
    1.033785      1.2331639E-27
    1.044123      1.0266415E-27
    1.054564      1.0043653E-27
    1.065110      1.1433260E-27
    1.075761      1.4590981E-27
    1.086519      4.4690519E-27
    1.097384      1.6639189E-26
    1.108358      4.1805150E-26
    1.119441      2.9918500E-26
    1.130636      4.2132932E-26
    1.141942      3.0263960E-26
    1.153361      3.5524059E-26
    1.164895      3.6968904E-26
    1.176544      2.3090784E-26
    1.188309      1.3910112E-26
    1.200192      8.6312983E-27
    1.212194      5.2882959E-27
    1.224316      3.5421487E-27
    1.236560      2.4445597E-27
    1.248925      2.0259759E-27
    1.261414      2.6577662E-27
    1.274028      4.2197671E-27
    1.286769      6.9493225E-27
    1.299636      9.3971532E-27
    1.312633      1.3859993E-26
    1.325759      4.0127825E-25
    1.339017      5.9178753E-25
    1.352407      4.8065153E-25
    1.365931      2.4186916E-25
    1.379590      4.3586430E-25
    1.393386      3.8658813E-25
    1.407320      4.4294918E-25
    1.421393      3.7859207E-25
    1.435607      3.0303126E-25
    1.449963      2.0069231E-25
    1.464463      1.4178158E-25
    1.479108      1.0009781E-25
    1.493899      7.1835604E-26
    1.508838      5.1949915E-26
    1.523926      3.4603046E-26
    1.539165      2.1865963E-26
    1.554557      1.5169429E-26
    1.570102      1.1579997E-26
    1.585803      1.2932290E-26
    1.601662      2.7202602E-26
    1.617678      5.1644234E-26
    1.633855      5.1393269E-26
    1.650193      3.9295982E-26
    1.666695      6.7483627E-26
    1.683362      5.5485163E-26
    1.700196      5.2428740E-26
    1.717198      6.2713727E-26
    1.734370      1.0086996E-25
    1.751714      1.8325391E-25
    1.769231      3.5281848E-25
    1.786923      5.5499269E-25
    1.804792      7.6291743E-25
    1.822840      6.4927288E-25
    1.841069      7.2736831E-25
    1.859479      8.1387222E-25
    1.878074      3.5117360E-25
    1.896855      3.9459292E-25
    1.915823      5.3893614E-25
    1.934982      5.6884625E-25
    1.954331      5.2077092E-25
    1.973875      3.7368747E-25
    1.993613      2.3818831E-25
    2.013550      1.3658313E-25
    2.033685      8.8969928E-26
    2.054022      4.9346240E-26
    2.074562      3.3410774E-26
    2.095308      3.0252524E-26
    2.116261      3.3434160E-26
    2.137423      4.6436404E-26
    2.158798      7.2291318E-26
    2.180386      1.3666110E-25
    2.202190      2.4755305E-25
    2.224211      2.6863570E-25
    2.246454      3.3894614E-25
    2.268918      3.9404434E-25
    2.291607      4.6406006E-25
    2.314523      6.2715751E-25
    2.337669      5.8554618E-25
    2.361045      6.2478002E-25
    2.384656      5.1971802E-25
    2.408502      5.5095565E-25
    2.432587      8.1612094E-25
    2.456913      1.7104933E-24
    2.481482      2.7379755E-24
    2.506297      4.3578695E-24
    2.531360      4.6871028E-24
    2.556674      5.1414092E-24
    2.582240      4.7762784E-24
    2.608063      2.3627373E-24
    2.634143      1.5609254E-24
    2.660485      7.4443188E-24
    2.687090      4.9260064E-24
    2.713961      5.0232226E-24
    2.741100      6.7562071E-24
    2.768511      4.7403829E-24
    2.796196      4.8344047E-24
    2.824158      6.0902253E-24
    2.852400      4.1610493E-24
    2.880924      3.5793131E-24
    2.909733      3.0532675E-24
    2.938830      2.1372628E-24
    2.968219      1.7439734E-24
    2.997901      1.1946615E-24
    3.027880      1.4053170E-24
    3.058159      1.7200418E-24
    3.088740      3.0058629E-24
    3.119628      4.3798766E-24
    3.150824      5.2737341E-24
    3.182332      6.3262618E-24
    3.214156      4.3888422E-24
    3.246297      2.7881575E-24
    3.278760      2.0174470E-24
    3.311548      1.6615648E-23
    3.344663      4.1174773E-24
    3.378110      3.0045518E-24
    3.411891      3.7409806E-24
    3.446010      3.4223169E-24
    3.480470      2.8860988E-24
    3.515275      2.4770638E-24
    3.550427      1.8553054E-24
    3.585932      1.2359207E-24
    3.621791      8.3525853E-25
    3.658009      5.4594447E-25
    3.694589      4.0300406E-25
    3.731535      3.0169562E-25
    3.768850      2.4406188E-25
    3.806539      1.8498294E-25
    3.844604      1.5669317E-25
    3.883050      1.2057694E-25
    3.921881      1.5783768E-25
    3.961099      9.7679378E-26
    4.000710      9.3126198E-26
    4.040718      1.0445640E-25
    4.081125      1.1061473E-25
    4.121936      1.2898988E-25
    4.163155      1.7477342E-25
    4.204787      2.2633327E-25
    4.246835      2.2994069E-25
    4.289303      3.2572596E-25
    4.332196      6.0037754E-25
    4.375518      2.0792547E-24
    4.419273      4.6942075E-24
    4.463466      1.0475372E-23
    4.508101      1.3933018E-23
    4.553182      1.3754155E-23
    4.598714      1.0887831E-23
    4.644701      3.5559528E-24
    4.691148      5.1878800E-24
    4.738059      8.5597256E-24
    4.785440      9.1513594E-24
    4.833294      8.9484055E-24
    4.881627      7.6678029E-24
    4.930443      5.9477929E-24
    4.979748      4.3787702E-24
    5.029545      2.9938425E-24
    5.079841      2.3368873E-24
    5.130639      2.5544074E-24
    5.181946      3.5324375E-24
    5.233765      2.8762417E-24
    5.286103      2.6784691E-24
    5.338964      3.6721209E-24
    5.392353      4.7744320E-24
    5.446277      3.1099870E-24
    5.500740      5.8960064E-24
    5.555747      5.7357849E-24
    5.611304      7.3039926E-24
    5.667418      7.4928144E-24
    5.724092      8.2176972E-24
    5.781333      7.6427505E-24
    5.839146      7.4424820E-24
    5.897537      7.3375052E-24
    5.956513      2.6158975E-24
    6.016078      6.3883286E-24
    6.076239      2.3502948E-24
    6.137001      2.6526436E-24
    6.198371      1.1869997E-24
    6.260355      9.4247456E-25
    6.322958      1.5443888E-24
    6.386188      7.0922446E-24
    6.450050      1.0827337E-23
    6.514550      1.1541163E-23
    6.579696      2.1838454E-23
    6.645493      9.9023859E-24
    6.711948      6.7768689E-24
    6.779067      9.9909998E-24
    6.846858      6.4883058E-24
    6.915326      7.4459952E-24
    6.984480      1.0666766E-23
    7.054324      6.7082110E-24
    7.124868      7.9038174E-24
    7.196116      9.2629390E-24
    7.268078      1.2645009E-23
    7.340758      8.7269274E-24
    7.414166      1.4988832E-23
    7.488308      7.8655227E-24
    7.563191      8.1815048E-24
    7.638823      1.1379911E-23
    7.715211      1.1425658E-23
    7.792363      9.5621505E-24
    7.870286      7.3785397E-24
    7.948989      5.8329961E-24
    8.028479      5.4074705E-24
    8.108764      6.4079644E-24
    8.189852      4.4466276E-24
    8.271750      4.3791373E-24
    8.354468      3.1435004E-24
    8.438012      3.1184495E-24
    8.522393      2.0017495E-24
    8.607616      1.7456189E-24
    8.693693      1.3794244E-24
    8.780630      1.0439581E-24
    8.868436      9.9845352E-25
    8.957120      8.7606218E-25
    9.046691      6.6212110E-25
    9.137158      4.5967686E-25
    9.228530      4.5484787E-25
    9.320815      7.6426953E-25
    9.414023      4.3683715E-25
    9.508164      3.9382446E-25
    9.603245      2.7671340E-25
    9.699278      2.8263808E-25
    9.796270      1.3396447E-24
    9.894233      2.3791702E-25
    9.993175      3.7144481E-25
   10.093107      2.2391259E-25
   10.194038      3.1570487E-25
   10.295979      1.0490299E-24
   10.398938      5.7363887E-25
   10.502928      4.9585831E-25
   10.607957      1.4973774E-24
   10.714037      3.1938936E-25
   10.821177      1.2810390E-24
   10.929389      1.1833206E-24
   11.038683      2.5934480E-25
   11.149070      5.6581913E-25
   11.260560      2.0809339E-25
   11.373166      4.9300735E-25
   11.486898      9.7401619E-25
   11.601766      8.4557203E-25
   11.717784      1.6881492E-24
   11.834962      5.2136868E-25
   11.953312      5.2321387E-25
   12.072845      6.7684189E-25
   12.193573      1.4082483E-24
   12.315509      2.1784520E-24
   12.438664      1.8134104E-24
   12.563051      1.2689101E-24
   12.688681      1.7282429E-24
   12.815568      9.0780578E-25
   12.943724      2.8886493E-24
   13.073161      2.5426005E-24
   13.203892      4.3008094E-24
   13.335931      3.3384117E-24
   13.469291      2.6645045E-24
   13.603984      4.3431545E-24
   13.740023      3.1647250E-24
   13.877424      3.5258568E-24
   14.016198      2.3523277E-24
   14.156360      6.5819704E-24
   14.297924      6.2704126E-24
   14.440903      4.6170652E-24
   14.585312      5.8384301E-24
   14.731165      7.4293525E-24
   14.878477      5.8690134E-24
   15.027261      8.6671265E-24
   15.177534      3.2650468E-24
