# Pressure:     3.000E-05 Ba
# Temperature:   4000.000 K
#  lambda [mu]   kappa [cm^2/mol]
    0.500000      1.0736432E-32
    0.505000      1.0304465E-32
    0.510050      9.8901296E-33
    0.515150      9.4926922E-33
    0.520302      9.1114493E-33
    0.525505      8.7457278E-33
    0.530760      8.3948833E-33
    0.536068      8.0582990E-33
    0.541428      7.7353842E-33
    0.546843      7.4255735E-33
    0.552311      7.1283255E-33
    0.557834      6.8431215E-33
    0.563413      6.5694649E-33
    0.569047      6.3068803E-33
    0.574737      6.0549119E-33
    0.580484      5.8131236E-33
    0.586289      1.7900993E-30
    0.592152      5.3584324E-33
    0.598074      5.1447455E-33
    0.604054      4.9396690E-33
    0.610095      4.7428506E-33
    0.616196      4.5539529E-33
    0.622358      4.3726526E-33
    0.628582      4.1986396E-33
    0.634867      4.0316169E-33
    0.641216      3.8713000E-33
    0.647628      3.7174160E-33
    0.654104      3.5697032E-33
    0.660645      3.4279111E-33
    0.667252      3.2917993E-33
    0.673924      3.1611374E-33
    0.680664      3.0357046E-33
    0.687470      2.9152890E-33
    0.694345      2.7996876E-33
    0.701288      2.6887057E-33
    0.708301      2.5821566E-33
    0.715384      2.4798614E-33
    0.722538      2.3816483E-33
    0.729764      2.2873527E-33
    0.737061      2.1968167E-33
    0.744432      2.1098889E-33
    0.751876      2.0264240E-33
    0.759395      1.9462827E-33
    0.766989      9.2362995E-32
    0.774659      1.7954418E-33
    0.782405      1.7244912E-33
    0.790229      1.6563614E-33
    0.798132      1.5909393E-33
    0.806113      1.5281165E-33
    0.814174      3.5657446E-33
    0.822316      1.4098558E-33
    0.830539      1.3542223E-33
    0.838844      1.3007959E-33
    0.847233      1.2494886E-33
    0.855705      1.2002154E-33
    0.864262      1.1528953E-33
    0.872905      1.1074502E-33
    0.881634      1.0638052E-33
    0.890450      1.0218886E-33
    0.899355      9.8163139E-34
    0.908348      9.4296743E-34
    0.917432      9.0583326E-34
    0.926606      8.7016792E-34
    0.935872      8.3591295E-34
    0.945231      8.0301222E-34
    0.954683      7.7141185E-34
    0.964230      7.4106013E-34
    0.973872      7.1190742E-34
    0.983611      6.8390607E-34
    0.993447      6.5701036E-34
    1.003382      6.3117637E-34
    1.013416      6.0636196E-34
    1.023550      5.8252667E-34
    1.033785      5.5963165E-34
    1.044123      5.5278732E-34
    1.054564      5.1651480E-34
    1.065110      4.9622279E-34
    1.075761      4.7673061E-34
    1.086519      4.5800658E-34
    1.097384      4.4002028E-34
    1.108358      4.2705284E-34
    1.119441      4.0614523E-34
    1.130636      5.4433885E-34
    1.141942      3.7488553E-34
    1.153361      3.6017244E-34
    1.164895      1.1240533E-33
    1.176544      3.0197124E-31
    1.188309      3.1941694E-34
    1.200192      3.0688641E-34
    1.212194      2.9484871E-34
    1.224316      2.8328440E-34
    1.236560      4.5187426E-34
    1.248925      7.2674492E-34
    1.261414      2.5124859E-34
    1.274028      2.4139823E-34
    1.286769      2.3193494E-34
    1.299636      2.2284347E-34
    1.312633      2.1410916E-34
    1.325759      5.2168651E-34
    1.339017      3.3279885E-34
    1.352407      2.2110165E-34
    1.365931      2.5348120E-34
    1.379590      2.1351826E-34
    1.393386      2.6437775E-34
    1.407320      2.8495415E-34
    1.421393      2.6552274E-34
    1.435607      2.8950839E-34
    1.449963      2.2338567E-34
    1.464463      2.6080088E-34
    1.479108      1.9744598E-34
    1.493899      1.8331036E-34
    1.508838      2.5091206E-34
    1.523926      1.5539019E-34
    1.539165      1.5595684E-34
    1.554557      7.3431478E-29
    1.570102      9.9937324E-29
    1.585803      2.4156416E-29
    1.601662      5.9640965E-29
    1.617678      1.3249348E-28
    1.633855      8.5403096E-29
    1.650193      4.4921840E-29
    1.666695      3.4491220E-29
    1.683362      4.1650667E-29
    1.700196      2.9164713E-29
    1.717198      1.2748358E-29
    1.734370      1.1190103E-29
    1.751714      1.1559291E-29
    1.769231      6.6989742E-30
    1.786923      3.4689565E-30
    1.804792      2.7521401E-30
    1.822840      2.3032589E-30
    1.841069      1.0852994E-30
    1.859479      7.4647304E-31
    1.878074      6.5709459E-31
    1.896855      3.8751405E-31
    1.915823      2.1587885E-31
    1.934982      1.7854421E-31
    1.954331      1.1439402E-31
    1.973875      5.9455134E-32
    1.993613      5.1997290E-32
    2.013550      2.6997057E-32
    2.033685      1.8507800E-32
    2.054022      1.4534720E-32
    2.074562      8.3772366E-33
    2.095308      5.4709829E-33
    2.116261      3.3537164E-33
    2.137423      1.9554028E-33
    2.158798      1.3807260E-33
    2.180386      7.4615587E-34
    2.202190      5.0782013E-34
    2.224211      2.6494608E-34
    2.246454      2.1596774E-34
    2.268918      1.5022215E-34
    2.291607      4.7507840E-27
    2.314523      1.1462157E-26
    2.337669      7.4436236E-27
    2.361045      4.1846210E-27
    2.384656      6.2753615E-27
    2.408502      8.0770215E-27
    2.432587      5.3059337E-27
    2.456913      3.8426129E-27
    2.481482      3.1388453E-27
    2.506297      2.5652628E-27
    2.531360      1.9832565E-27
    2.556674      1.2568239E-27
    2.582240      1.0119959E-27
    2.608063      7.2929307E-28
    2.634143      4.6780111E-28
    2.660485      3.0748018E-28
    2.687090      2.0346464E-28
    2.713961      1.4386205E-28
    2.741100      9.1190145E-29
    2.768511      6.4103913E-29
    2.796196      3.5959962E-29
    2.824158      2.2959916E-29
    2.852400      1.8662476E-29
    2.880924      9.2160374E-30
    2.909733      6.1082354E-30
    2.938830      3.9804309E-30
    2.968219      2.5844387E-30
    2.997901      1.7826310E-30
    3.027880      1.0091609E-30
    3.058159      7.0053311E-31
    3.088740      4.6311748E-31
    3.119628      2.7287885E-31
    3.150824      1.7011205E-31
    3.182332      1.1081011E-31
    3.214156      6.7857720E-32
    3.246297      4.7894773E-32
    3.278760      3.0047458E-32
    3.311548      2.0524703E-32
    3.344663      9.9587357E-33
    3.378110      7.4732653E-33
    3.411891      4.7294515E-33
    3.446010      3.2455216E-33
    3.480470      1.9451208E-33
    3.515275      1.3776737E-33
    3.550427      9.5167993E-34
    3.585932      6.7738168E-34
    3.621791      5.1322752E-34
    3.658009      4.0228799E-34
    3.694589      3.0804659E-34
    3.731535      2.4452532E-34
    3.768850      2.1506384E-34
    3.806539      2.2104030E-34
    3.844604      1.3020570E-32
    3.883050      1.4452659E-33
    3.921881      3.3410554E-34
    3.961099      2.8808289E-34
